date,capability_id,movement,quality,expression,daily_score,n_tests,match_date,days_post_match
2023-08-16,upper body_push_dynamic,upper body,push,dynamic,0.3395,1,2023-08-13,3
2023-08-17,agility_acceleration_dynamic,agility,acceleration,dynamic,0.3395,1,2023-08-13,4
2023-08-17,agility_deceleration_dynamic,agility,deceleration,dynamic,0.8695,1,2023-08-13,4
2023-08-17,agility_deceleration_isometric,agility,deceleration,isometric,0.9775,1,2023-08-13,4
2023-08-17,jump_land_dynamic,jump,land,dynamic,0.69,1,2023-08-13,4
2023-08-17,jump_pre-load_dynamic,jump,pre-load,dynamic,0.522,1,2023-08-13,4
2023-08-17,jump_take off_dynamic,jump,take off,dynamic,0.6905,1,2023-08-13,4
2023-08-17,sprint_acceleration_dynamic,sprint,acceleration,dynamic,0.3395,1,2023-08-13,4
2023-08-17,sprint_max velocity_dynamic,sprint,max velocity,dynamic,0.67,1,2023-08-13,4
2023-08-17,upper body_pull_dynamic,upper body,pull,dynamic,0.8695,1,2023-08-13,4
2023-08-17,upper body_push_dynamic,upper body,push,dynamic,0.3395,1,2023-08-13,4
2023-08-18,agility_acceleration_dynamic,agility,acceleration,dynamic,0.338,1,2023-08-13,5
2023-08-18,agility_deceleration_dynamic,agility,deceleration,dynamic,0.868,1,2023-08-13,5
2023-08-18,agility_deceleration_isometric,agility,deceleration,isometric,0.9775,1,2023-08-13,5
2023-08-18,jump_land_dynamic,jump,land,dynamic,0.69,1,2023-08-13,5
2023-08-18,jump_pre-load_dynamic,jump,pre-load,dynamic,0.519,1,2023-08-13,5
2023-08-18,jump_take off_dynamic,jump,take off,dynamic,0.6975,1,2023-08-13,5
2023-08-18,sprint_acceleration_dynamic,sprint,acceleration,dynamic,0.338,1,2023-08-13,5
2023-08-18,sprint_max velocity_dynamic,sprint,max velocity,dynamic,0.67,1,2023-08-13,5
2023-08-18,upper body_pull_dynamic,upper body,pull,dynamic,0.868,1,2023-08-13,5
2023-08-18,upper body_push_dynamic,upper body,push,dynamic,0.338,1,2023-08-13,5
2023-08-19,agility_acceleration_dynamic,agility,acceleration,dynamic,0.3495,1,2023-08-13,6
2023-08-19,agility_deceleration_dynamic,agility,deceleration,dynamic,0.87,1,2023-08-13,6
2023-08-19,agility_deceleration_isometric,agility,deceleration,isometric,0.9775,1,2023-08-13,6
2023-08-19,jump_land_dynamic,jump,land,dynamic,0.69,1,2023-08-13,6
2023-08-19,jump_pre-load_dynamic,jump,pre-load,dynamic,0.516,1,2023-08-13,6
2023-08-19,jump_take off_dynamic,jump,take off,dynamic,0.6945,1,2023-08-13,6
2023-08-19,sprint_acceleration_dynamic,sprint,acceleration,dynamic,0.3495,1,2023-08-13,6
2023-08-19,sprint_max velocity_dynamic,sprint,max velocity,dynamic,0.67,1,2023-08-13,6
2023-08-19,upper body_pull_dynamic,upper body,pull,dynamic,0.87,1,2023-08-13,6
2023-08-19,upper body_push_dynamic,upper body,push,dynamic,0.3495,1,2023-08-13,6
2023-08-20,agility_acceleration_dynamic,agility,acceleration,dynamic,0.3495,1,2023-08-13,7
2023-08-20,agility_deceleration_dynamic,agility,deceleration,dynamic,0.87,1,2023-08-13,7
2023-08-20,agility_deceleration_isometric,agility,deceleration,isometric,0.9775,1,2023-08-13,7
2023-08-20,jump_land_dynamic,jump,land,dynamic,0.69,1,2023-08-13,7
2023-08-20,jump_pre-load_dynamic,jump,pre-load,dynamic,0.516,1,2023-08-13,7
2023-08-20,jump_take off_dynamic,jump,take off,dynamic,0.6945,1,2023-08-13,7
2023-08-20,sprint_acceleration_dynamic,sprint,acceleration,dynamic,0.3495,1,2023-08-13,7
2023-08-20,sprint_max velocity_dynamic,sprint,max velocity,dynamic,0.67,1,2023-08-13,7
2023-08-20,upper body_pull_dynamic,upper body,pull,dynamic,0.87,1,2023-08-13,7
2023-08-20,upper body_push_dynamic,upper body,push,dynamic,0.3495,1,2023-08-13,7
2023-08-21,agility_acceleration_dynamic,agility,acceleration,dynamic,0.412,1,2023-08-13,8
2023-08-21,agility_deceleration_dynamic,agility,deceleration,dynamic,0.87,1,2023-08-13,8
2023-08-21,agility_deceleration_isometric,agility,deceleration,isometric,1.031,1,2023-08-13,8
2023-08-21,jump_land_dynamic,jump,land,dynamic,0.69,1,2023-08-13,8
2023-08-21,jump_pre-load_dynamic,jump,pre-load,dynamic,0.533,1,2023-08-13,8
2023-08-21,jump_take off_dynamic,jump,take off,dynamic,0.6945,1,2023-08-13,8
2023-08-21,sprint_acceleration_dynamic,sprint,acceleration,dynamic,0.412,1,2023-08-13,8
2023-08-21,sprint_max velocity_dynamic,sprint,max velocity,dynamic,0.67,1,2023-08-13,8
2023-08-21,upper body_pull_dynamic,upper body,pull,dynamic,0.87,1,2023-08-13,8
2023-08-21,upper body_push_dynamic,upper body,push,dynamic,0.412,1,2023-08-13,8
2023-08-22,agility_acceleration_dynamic,agility,acceleration,dynamic,0.412,1,2023-08-13,9
2023-08-22,agility_deceleration_dynamic,agility,deceleration,dynamic,0.87,1,2023-08-13,9
2023-08-22,agility_deceleration_isometric,agility,deceleration,isometric,1.0395,1,2023-08-13,9
2023-08-22,jump_land_dynamic,jump,land,dynamic,0.69,1,2023-08-13,9
2023-08-22,jump_pre-load_dynamic,jump,pre-load,dynamic,0.564,1,2023-08-13,9
2023-08-22,jump_take off_dynamic,jump,take off,dynamic,0.69,1,2023-08-13,9
2023-08-22,sprint_acceleration_dynamic,sprint,acceleration,dynamic,0.412,1,2023-08-13,9
2023-08-22,sprint_max velocity_dynamic,sprint,max velocity,dynamic,0.67,1,2023-08-13,9
2023-08-22,upper body_pull_dynamic,upper body,pull,dynamic,0.87,1,2023-08-13,9
2023-08-22,upper body_push_dynamic,upper body,push,dynamic,0.412,1,2023-08-13,9
2023-08-23,agility_acceleration_dynamic,agility,acceleration,dynamic,0.412,1,2023-08-13,10
2023-08-23,agility_deceleration_dynamic,agility,deceleration,dynamic,0.87,1,2023-08-13,10
2023-08-23,agility_deceleration_isometric,agility,deceleration,isometric,1.0395,1,2023-08-13,10
2023-08-23,jump_land_dynamic,jump,land,dynamic,0.69,1,2023-08-13,10
2023-08-23,jump_pre-load_dynamic,jump,pre-load,dynamic,0.564,1,2023-08-13,10
2023-08-23,jump_take off_dynamic,jump,take off,dynamic,0.69,1,2023-08-13,10
2023-08-23,sprint_acceleration_dynamic,sprint,acceleration,dynamic,0.412,1,2023-08-13,10
2023-08-23,sprint_max velocity_dynamic,sprint,max velocity,dynamic,0.67,1,2023-08-13,10
2023-08-23,upper body_pull_dynamic,upper body,pull,dynamic,0.87,1,2023-08-13,10
2023-08-23,upper body_push_dynamic,upper body,push,dynamic,0.412,1,2023-08-13,10
2023-08-24,agility_acceleration_dynamic,agility,acceleration,dynamic,0.4,1,2023-08-13,11
2023-08-24,agility_deceleration_dynamic,agility,deceleration,dynamic,0.87,1,2023-08-13,11
2023-08-24,agility_deceleration_isometric,agility,deceleration,isometric,1.0395,1,2023-08-13,11
2023-08-24,jump_land_dynamic,jump,land,dynamic,0.69,1,2023-08-13,11
2023-08-24,jump_pre-load_dynamic,jump,pre-load,dynamic,0.546,1,2023-08-13,11
2023-08-24,jump_take off_dynamic,jump,take off,dynamic,0.69,1,2023-08-13,11
2023-08-24,sprint_acceleration_dynamic,sprint,acceleration,dynamic,0.4,1,2023-08-13,11
2023-08-24,sprint_max velocity_dynamic,sprint,max velocity,dynamic,0.67,1,2023-08-13,11
2023-08-24,upper body_pull_dynamic,upper body,pull,dynamic,0.87,1,2023-08-13,11
2023-08-24,upper body_push_dynamic,upper body,push,dynamic,0.4,1,2023-08-13,11
2023-08-25,agility_acceleration_dynamic,agility,acceleration,dynamic,0.4,1,2023-08-13,12
2023-08-25,agility_deceleration_dynamic,agility,deceleration,dynamic,0.87,1,2023-08-13,12
2023-08-25,agility_deceleration_isometric,agility,deceleration,isometric,1.0395,1,2023-08-13,12
2023-08-25,jump_land_dynamic,jump,land,dynamic,0.69,1,2023-08-13,12
2023-08-25,jump_pre-load_dynamic,jump,pre-load,dynamic,0.546,1,2023-08-13,12
2023-08-25,jump_take off_dynamic,jump,take off,dynamic,0.69,1,2023-08-13,12
2023-08-25,sprint_acceleration_dynamic,sprint,acceleration,dynamic,0.4,1,2023-08-13,12
2023-08-25,sprint_max velocity_dynamic,sprint,max velocity,dynamic,0.67,1,2023-08-13,12
2023-08-25,upper body_pull_dynamic,upper body,pull,dynamic,0.87,1,2023-08-13,12
2023-08-25,upper body_push_dynamic,upper body,push,dynamic,0.4,1,2023-08-13,12
2023-08-26,agility_acceleration_dynamic,agility,acceleration,dynamic,0.388,1,2023-08-13,13
2023-08-26,agility_acceleration_isometric,agility,acceleration,isometric,0.52,1,2023-08-13,13
2023-08-26,agility_deceleration_dynamic,agility,deceleration,dynamic,0.877,1,2023-08-13,13
2023-08-26,agility_deceleration_isometric,agility,deceleration,isometric,1.0395,1,2023-08-13,13
2023-08-26,jump_land_dynamic,jump,land,dynamic,0.69,1,2023-08-13,13
2023-08-26,jump_pre-load_dynamic,jump,pre-load,dynamic,0.58,1,2023-08-13,13
2023-08-26,jump_pre-load_isometric,jump,pre-load,isometric,0.52,1,2023-08-13,13
2023-08-26,jump_take off_dynamic,jump,take off,dynamic,0.69,1,2023-08-13,13
2023-08-26,sprint_acceleration_dynamic,sprint,acceleration,dynamic,0.388,1,2023-08-13,13
2023-08-26,sprint_acceleration_isometric,sprint,acceleration,isometric,0.52,1,2023-08-13,13
2023-08-26,sprint_max velocity_dynamic,sprint,max velocity,dynamic,0.67,1,2023-08-13,13
2023-08-26,upper body_pull_dynamic,upper body,pull,dynamic,0.877,1,2023-08-13,13
2023-08-26,upper body_push_dynamic,upper body,push,dynamic,0.388,1,2023-08-13,13
2023-08-27,agility_acceleration_dynamic,agility,acceleration,dynamic,0.388,1,2023-08-13,14
2023-08-27,agility_acceleration_isometric,agility,acceleration,isometric,0.52,1,2023-08-13,14
2023-08-27,agility_deceleration_dynamic,agility,deceleration,dynamic,0.877,1,2023-08-13,14
2023-08-27,agility_deceleration_isometric,agility,deceleration,isometric,1.0395,1,2023-08-13,14
2023-08-27,jump_land_dynamic,jump,land,dynamic,0.69,1,2023-08-13,14
2023-08-27,jump_pre-load_dynamic,jump,pre-load,dynamic,0.58,1,2023-08-13,14
2023-08-27,jump_pre-load_isometric,jump,pre-load,isometric,0.52,1,2023-08-13,14
2023-08-27,jump_take off_dynamic,jump,take off,dynamic,0.69,1,2023-08-13,14
2023-08-27,sprint_acceleration_dynamic,sprint,acceleration,dynamic,0.388,1,2023-08-13,14
2023-08-27,sprint_acceleration_isometric,sprint,acceleration,isometric,0.52,1,2023-08-13,14
2023-08-27,sprint_max velocity_dynamic,sprint,max velocity,dynamic,0.67,1,2023-08-13,14
2023-08-27,upper body_pull_dynamic,upper body,pull,dynamic,0.877,1,2023-08-13,14
2023-08-27,upper body_push_dynamic,upper body,push,dynamic,0.388,1,2023-08-13,14
2023-08-21,agility_acceleration_dynamic,agility,acceleration,dynamic,0.412,1,2023-08-20,1
2023-08-21,agility_deceleration_dynamic,agility,deceleration,dynamic,0.87,1,2023-08-20,1
2023-08-21,agility_deceleration_isometric,agility,deceleration,isometric,1.031,1,2023-08-20,1
2023-08-21,jump_land_dynamic,jump,land,dynamic,0.69,1,2023-08-20,1
2023-08-21,jump_pre-load_dynamic,jump,pre-load,dynamic,0.533,1,2023-08-20,1
2023-08-21,jump_take off_dynamic,jump,take off,dynamic,0.6945,1,2023-08-20,1
2023-08-21,sprint_acceleration_dynamic,sprint,acceleration,dynamic,0.412,1,2023-08-20,1
2023-08-21,sprint_max velocity_dynamic,sprint,max velocity,dynamic,0.67,1,2023-08-20,1
2023-08-21,upper body_pull_dynamic,upper body,pull,dynamic,0.87,1,2023-08-20,1
2023-08-21,upper body_push_dynamic,upper body,push,dynamic,0.412,1,2023-08-20,1
2023-08-22,agility_acceleration_dynamic,agility,acceleration,dynamic,0.412,1,2023-08-20,2
2023-08-22,agility_deceleration_dynamic,agility,deceleration,dynamic,0.87,1,2023-08-20,2
2023-08-22,agility_deceleration_isometric,agility,deceleration,isometric,1.0395,1,2023-08-20,2
2023-08-22,jump_land_dynamic,jump,land,dynamic,0.69,1,2023-08-20,2
2023-08-22,jump_pre-load_dynamic,jump,pre-load,dynamic,0.564,1,2023-08-20,2
2023-08-22,jump_take off_dynamic,jump,take off,dynamic,0.69,1,2023-08-20,2
2023-08-22,sprint_acceleration_dynamic,sprint,acceleration,dynamic,0.412,1,2023-08-20,2
2023-08-22,sprint_max velocity_dynamic,sprint,max velocity,dynamic,0.67,1,2023-08-20,2
2023-08-22,upper body_pull_dynamic,upper body,pull,dynamic,0.87,1,2023-08-20,2
2023-08-22,upper body_push_dynamic,upper body,push,dynamic,0.412,1,2023-08-20,2
2023-08-23,agility_acceleration_dynamic,agility,acceleration,dynamic,0.412,1,2023-08-20,3
2023-08-23,agility_deceleration_dynamic,agility,deceleration,dynamic,0.87,1,2023-08-20,3
2023-08-23,agility_deceleration_isometric,agility,deceleration,isometric,1.0395,1,2023-08-20,3
2023-08-23,jump_land_dynamic,jump,land,dynamic,0.69,1,2023-08-20,3
2023-08-23,jump_pre-load_dynamic,jump,pre-load,dynamic,0.564,1,2023-08-20,3
2023-08-23,jump_take off_dynamic,jump,take off,dynamic,0.69,1,2023-08-20,3
2023-08-23,sprint_acceleration_dynamic,sprint,acceleration,dynamic,0.412,1,2023-08-20,3
2023-08-23,sprint_max velocity_dynamic,sprint,max velocity,dynamic,0.67,1,2023-08-20,3
2023-08-23,upper body_pull_dynamic,upper body,pull,dynamic,0.87,1,2023-08-20,3
2023-08-23,upper body_push_dynamic,upper body,push,dynamic,0.412,1,2023-08-20,3
2023-08-24,agility_acceleration_dynamic,agility,acceleration,dynamic,0.4,1,2023-08-20,4
2023-08-24,agility_deceleration_dynamic,agility,deceleration,dynamic,0.87,1,2023-08-20,4
2023-08-24,agility_deceleration_isometric,agility,deceleration,isometric,1.0395,1,2023-08-20,4
2023-08-24,jump_land_dynamic,jump,land,dynamic,0.69,1,2023-08-20,4
2023-08-24,jump_pre-load_dynamic,jump,pre-load,dynamic,0.546,1,2023-08-20,4
2023-08-24,jump_take off_dynamic,jump,take off,dynamic,0.69,1,2023-08-20,4
2023-08-24,sprint_acceleration_dynamic,sprint,acceleration,dynamic,0.4,1,2023-08-20,4
2023-08-24,sprint_max velocity_dynamic,sprint,max velocity,dynamic,0.67,1,2023-08-20,4
2023-08-24,upper body_pull_dynamic,upper body,pull,dynamic,0.87,1,2023-08-20,4
2023-08-24,upper body_push_dynamic,upper body,push,dynamic,0.4,1,2023-08-20,4
2023-08-25,agility_acceleration_dynamic,agility,acceleration,dynamic,0.4,1,2023-08-20,5
2023-08-25,agility_deceleration_dynamic,agility,deceleration,dynamic,0.87,1,2023-08-20,5
2023-08-25,agility_deceleration_isometric,agility,deceleration,isometric,1.0395,1,2023-08-20,5
2023-08-25,jump_land_dynamic,jump,land,dynamic,0.69,1,2023-08-20,5
2023-08-25,jump_pre-load_dynamic,jump,pre-load,dynamic,0.546,1,2023-08-20,5
2023-08-25,jump_take off_dynamic,jump,take off,dynamic,0.69,1,2023-08-20,5
2023-08-25,sprint_acceleration_dynamic,sprint,acceleration,dynamic,0.4,1,2023-08-20,5
2023-08-25,sprint_max velocity_dynamic,sprint,max velocity,dynamic,0.67,1,2023-08-20,5
2023-08-25,upper body_pull_dynamic,upper body,pull,dynamic,0.87,1,2023-08-20,5
2023-08-25,upper body_push_dynamic,upper body,push,dynamic,0.4,1,2023-08-20,5
2023-08-26,agility_acceleration_dynamic,agility,acceleration,dynamic,0.388,1,2023-08-20,6
2023-08-26,agility_acceleration_isometric,agility,acceleration,isometric,0.52,1,2023-08-20,6
2023-08-26,agility_deceleration_dynamic,agility,deceleration,dynamic,0.877,1,2023-08-20,6
2023-08-26,agility_deceleration_isometric,agility,deceleration,isometric,1.0395,1,2023-08-20,6
2023-08-26,jump_land_dynamic,jump,land,dynamic,0.69,1,2023-08-20,6
2023-08-26,jump_pre-load_dynamic,jump,pre-load,dynamic,0.58,1,2023-08-20,6
2023-08-26,jump_pre-load_isometric,jump,pre-load,isometric,0.52,1,2023-08-20,6
2023-08-26,jump_take off_dynamic,jump,take off,dynamic,0.69,1,2023-08-20,6
2023-08-26,sprint_acceleration_dynamic,sprint,acceleration,dynamic,0.388,1,2023-08-20,6
2023-08-26,sprint_acceleration_isometric,sprint,acceleration,isometric,0.52,1,2023-08-20,6
2023-08-26,sprint_max velocity_dynamic,sprint,max velocity,dynamic,0.67,1,2023-08-20,6
2023-08-26,upper body_pull_dynamic,upper body,pull,dynamic,0.877,1,2023-08-20,6
2023-08-26,upper body_push_dynamic,upper body,push,dynamic,0.388,1,2023-08-20,6
2023-08-27,agility_acceleration_dynamic,agility,acceleration,dynamic,0.388,1,2023-08-20,7
2023-08-27,agility_acceleration_isometric,agility,acceleration,isometric,0.52,1,2023-08-20,7
2023-08-27,agility_deceleration_dynamic,agility,deceleration,dynamic,0.877,1,2023-08-20,7
2023-08-27,agility_deceleration_isometric,agility,deceleration,isometric,1.0395,1,2023-08-20,7
2023-08-27,jump_land_dynamic,jump,land,dynamic,0.69,1,2023-08-20,7
2023-08-27,jump_pre-load_dynamic,jump,pre-load,dynamic,0.58,1,2023-08-20,7
2023-08-27,jump_pre-load_isometric,jump,pre-load,isometric,0.52,1,2023-08-20,7
2023-08-27,jump_take off_dynamic,jump,take off,dynamic,0.69,1,2023-08-20,7
2023-08-27,sprint_acceleration_dynamic,sprint,acceleration,dynamic,0.388,1,2023-08-20,7
2023-08-27,sprint_acceleration_isometric,sprint,acceleration,isometric,0.52,1,2023-08-20,7
2023-08-27,sprint_max velocity_dynamic,sprint,max velocity,dynamic,0.67,1,2023-08-20,7
2023-08-27,upper body_pull_dynamic,upper body,pull,dynamic,0.877,1,2023-08-20,7
2023-08-27,upper body_push_dynamic,upper body,push,dynamic,0.388,1,2023-08-20,7
2023-08-28,agility_acceleration_dynamic,agility,acceleration,dynamic,0.388,1,2023-08-20,8
2023-08-28,agility_acceleration_isometric,agility,acceleration,isometric,0.52,1,2023-08-20,8
2023-08-28,agility_deceleration_dynamic,agility,deceleration,dynamic,0.877,1,2023-08-20,8
2023-08-28,agility_deceleration_isometric,agility,deceleration,isometric,1.0395,1,2023-08-20,8
2023-08-28,jump_land_dynamic,jump,land,dynamic,0.69,1,2023-08-20,8
2023-08-28,jump_pre-load_dynamic,jump,pre-load,dynamic,0.62,1,2023-08-20,8
2023-08-28,jump_pre-load_isometric,jump,pre-load,isometric,0.52,1,2023-08-20,8
2023-08-28,jump_take off_dynamic,jump,take off,dynamic,0.69,1,2023-08-20,8
2023-08-28,sprint_acceleration_dynamic,sprint,acceleration,dynamic,0.388,1,2023-08-20,8
2023-08-28,sprint_acceleration_isometric,sprint,acceleration,isometric,0.52,1,2023-08-20,8
2023-08-28,sprint_max velocity_dynamic,sprint,max velocity,dynamic,0.5845,1,2023-08-20,8
2023-08-28,upper body_pull_dynamic,upper body,pull,dynamic,0.877,1,2023-08-20,8
2023-08-28,upper body_push_dynamic,upper body,push,dynamic,0.388,1,2023-08-20,8
2023-08-29,agility_acceleration_dynamic,agility,acceleration,dynamic,0.388,1,2023-08-20,9
2023-08-29,agility_acceleration_isometric,agility,acceleration,isometric,0.52,1,2023-08-20,9
2023-08-29,agility_deceleration_dynamic,agility,deceleration,dynamic,0.877,1,2023-08-20,9
2023-08-29,agility_deceleration_isometric,agility,deceleration,isometric,1.0395,1,2023-08-20,9
2023-08-29,jump_land_dynamic,jump,land,dynamic,0.69,1,2023-08-20,9
2023-08-29,jump_pre-load_dynamic,jump,pre-load,dynamic,0.62,1,2023-08-20,9
2023-08-29,jump_pre-load_isometric,jump,pre-load,isometric,0.52,1,2023-08-20,9
2023-08-29,jump_take off_dynamic,jump,take off,dynamic,0.69,1,2023-08-20,9
2023-08-29,sprint_acceleration_dynamic,sprint,acceleration,dynamic,0.388,1,2023-08-20,9
2023-08-29,sprint_acceleration_isometric,sprint,acceleration,isometric,0.52,1,2023-08-20,9
2023-08-29,sprint_max velocity_dynamic,sprint,max velocity,dynamic,0.5845,1,2023-08-20,9
2023-08-29,upper body_pull_dynamic,upper body,pull,dynamic,0.877,1,2023-08-20,9
2023-08-29,upper body_push_dynamic,upper body,push,dynamic,0.388,1,2023-08-20,9
2023-08-30,agility_acceleration_dynamic,agility,acceleration,dynamic,0.3945,1,2023-08-20,10
2023-08-30,agility_acceleration_isometric,agility,acceleration,isometric,0.52,1,2023-08-20,10
2023-08-30,agility_deceleration_dynamic,agility,deceleration,dynamic,0.877,1,2023-08-20,10
2023-08-30,agility_deceleration_isometric,agility,deceleration,isometric,1.0395,1,2023-08-20,10
2023-08-30,jump_land_dynamic,jump,land,dynamic,0.69,1,2023-08-20,10
2023-08-30,jump_pre-load_dynamic,jump,pre-load,dynamic,0.62,1,2023-08-20,10
2023-08-30,jump_pre-load_isometric,jump,pre-load,isometric,0.52,1,2023-08-20,10
2023-08-30,jump_take off_dynamic,jump,take off,dynamic,0.69,1,2023-08-20,10
2023-08-30,sprint_acceleration_dynamic,sprint,acceleration,dynamic,0.3945,1,2023-08-20,10
2023-08-30,sprint_acceleration_isometric,sprint,acceleration,isometric,0.52,1,2023-08-20,10
2023-08-30,sprint_max velocity_dynamic,sprint,max velocity,dynamic,0.5845,1,2023-08-20,10
2023-08-30,upper body_pull_dynamic,upper body,pull,dynamic,0.877,1,2023-08-20,10
2023-08-30,upper body_push_dynamic,upper body,push,dynamic,0.3945,1,2023-08-20,10
2023-08-31,agility_acceleration_dynamic,agility,acceleration,dynamic,0.3945,1,2023-08-20,11
2023-08-31,agility_acceleration_isometric,agility,acceleration,isometric,0.52,1,2023-08-20,11
2023-08-31,agility_deceleration_dynamic,agility,deceleration,dynamic,0.877,1,2023-08-20,11
2023-08-31,agility_deceleration_isometric,agility,deceleration,isometric,1.0395,1,2023-08-20,11
2023-08-31,jump_land_dynamic,jump,land,dynamic,0.69,1,2023-08-20,11
2023-08-31,jump_pre-load_dynamic,jump,pre-load,dynamic,0.62,1,2023-08-20,11
2023-08-31,jump_pre-load_isometric,jump,pre-load,isometric,0.52,1,2023-08-20,11
2023-08-31,jump_take off_dynamic,jump,take off,dynamic,0.6985,1,2023-08-20,11
2023-08-31,sprint_acceleration_dynamic,sprint,acceleration,dynamic,0.3945,1,2023-08-20,11
2023-08-31,sprint_acceleration_isometric,sprint,acceleration,isometric,0.52,1,2023-08-20,11
2023-08-31,sprint_max velocity_dynamic,sprint,max velocity,dynamic,0.5845,1,2023-08-20,11
2023-08-31,upper body_pull_dynamic,upper body,pull,dynamic,0.877,1,2023-08-20,11
2023-08-31,upper body_push_dynamic,upper body,push,dynamic,0.3945,1,2023-08-20,11
2023-09-01,agility_acceleration_dynamic,agility,acceleration,dynamic,0.3945,1,2023-08-20,12
2023-09-01,agility_acceleration_isometric,agility,acceleration,isometric,0.52,1,2023-08-20,12
2023-09-01,agility_deceleration_dynamic,agility,deceleration,dynamic,0.877,1,2023-08-20,12
2023-09-01,agility_deceleration_isometric,agility,deceleration,isometric,1.0395,1,2023-08-20,12
2023-09-01,jump_land_dynamic,jump,land,dynamic,0.69,1,2023-08-20,12
2023-09-01,jump_pre-load_dynamic,jump,pre-load,dynamic,0.62,1,2023-08-20,12
2023-09-01,jump_pre-load_isometric,jump,pre-load,isometric,0.52,1,2023-08-20,12
2023-09-01,jump_take off_dynamic,jump,take off,dynamic,0.6985,1,2023-08-20,12
2023-09-01,sprint_acceleration_dynamic,sprint,acceleration,dynamic,0.3945,1,2023-08-20,12
2023-09-01,sprint_acceleration_isometric,sprint,acceleration,isometric,0.52,1,2023-08-20,12
2023-09-01,sprint_max velocity_dynamic,sprint,max velocity,dynamic,0.5845,1,2023-08-20,12
2023-09-01,upper body_pull_dynamic,upper body,pull,dynamic,0.877,1,2023-08-20,12
2023-09-01,upper body_push_dynamic,upper body,push,dynamic,0.3945,1,2023-08-20,12
2023-09-02,agility_acceleration_dynamic,agility,acceleration,dynamic,0.3945,1,2023-08-20,13
2023-09-02,agility_acceleration_isometric,agility,acceleration,isometric,0.52,1,2023-08-20,13
2023-09-02,agility_deceleration_dynamic,agility,deceleration,dynamic,0.877,1,2023-08-20,13
2023-09-02,agility_deceleration_isometric,agility,deceleration,isometric,1.0395,1,2023-08-20,13
2023-09-02,jump_land_dynamic,jump,land,dynamic,0.69,1,2023-08-20,13
2023-09-02,jump_pre-load_dynamic,jump,pre-load,dynamic,0.62,1,2023-08-20,13
2023-09-02,jump_pre-load_isometric,jump,pre-load,isometric,0.52,1,2023-08-20,13
2023-09-02,jump_take off_dynamic,jump,take off,dynamic,0.6985,1,2023-08-20,13
2023-09-02,sprint_acceleration_dynamic,sprint,acceleration,dynamic,0.3945,1,2023-08-20,13
2023-09-02,sprint_acceleration_isometric,sprint,acceleration,isometric,0.52,1,2023-08-20,13
